0,1,2,3,4,5,6,7,8,9,10
Junk,Compliment,Collaboration,Feedback,Query,Complaints,Complaints,Complaints,Complaints,Complaints,Red Flags
Job,Thank You,Collaboration With ITC,salt could be reduced,Price Related,Broken/Crushed,Quality,Smell,Health,Authorities,Crisis
Hi / Hello / Hi Mam / Hello / Hello <<Brand>> / Hey,Liked,Association,Sugar should be reduced,Price,Broken ,Counterfeit,Fungus,Hazardous,Media House & CEO,Halal
,loved,Collaboration With Details,Website,Price Please ,Crushed,Duplicate,Fungus_Juice,Plastic Usage In DF Chocofills,Fraud Website,Boycott
,love,,packet color should be different,PP,Powdered Form,Puffed Pack,Infestation,Foreign Material,Legal,Fake Distributor
,Like,,Font size should be bigger,Price In Difference State Wise,Tampered Pack,Quality Feedback,Infestation_Atta,Plastic In Atta,Health Concerns,Mis Selling
,appriciate,,Link Not Working,Ingredients,Soggy,Quality Issue > 1,Worms,Glass Piece,Consumer court,INS 170
,good,,,Ingredient Related,Taste,Quality Suggestion,Insects,Iron Piece,Consumer forum,INS 322
,tasty,,,Ingredients In The Bingo Chips,Flavour,Reversed Shell,Lizard,Hair Strand,Health Minister,INS 339 
,nice,,,Nutritional Information,Sandiness,Chapatti Whiteish,Dead Rat,Plastic Piece,Food Inspector,INS 452
,superb,,,People,Burnt,Chocolates Melted,Cockroach,Metal Piece,Lawyer,INS 627
,fantastic,,,Location,Loss Of Crispiness,Cream Missing,Frog,Metal String,NGO,INS 631
,awsome,,,List Of Distributors In A City ,Watery,Flour Whiteish,Centipede,Stappler Pin,Food Inspector,INS 471
,fabulous,,,New Distributorship Follow Up,Texture,Hard Roti,Worm Eggs,Stone,Doctor,INS 102
,Excellent,,,New Distributorship Request Without Details,Empty Packs,Brittle Roti,Fly,Wooden Piece,Government official,INS 124
,wonderful,,,New Distributorship Request With Details,Airout,Improper Deveining,House Fly,Wood Piece,Fraud (Froud),INS 334 Being Used In Bingo! Mad Angles
,delicious,,,Availability,Airout Packs_Jelimals,Maida Mix,Cobweb,Hospitalised,Mouthshut.com,INS 471 In Dark Fantasy
,Yummy,,,Availability In Ecom,Airout Packs_Snacks,Not Cooked,Spiderweb,Admitted in Hospital,News Life,MSG In Noodles
,,,,Fabelle Availability In Store: Packed Boxed Chocolates,Empty Packs,Not Baked Properly,Bug,Puked,India Today (@indiaToday),Sodium Label In Ingredients
,,,,"Fabelle Exclusive In Botique: Jars, Beverages, Gift Hampers, Hotel Creations",Empty Wrapper_Dark Fantasy,Half Baked,Black Particles,Throat Infection,CNN News,Sunfeast Yippee Noodles Is A 100% Vegetarian Diet.
,,,,How To Place An Order,Empty Wrapper_No Candy,Over Baked,Green Particles,Vomitting,ABP News (@ABPNews),Taste Enhancer E631
,,,,Product Available In Retail Shop,Empty Wrapper_No Jelimals,Retailer,White Particles,Vomitting Sensation,Zee News (@ZeeNews),Gluten Free Enquiry
,,,,Outlet,Printing,Distributor,Bad Smell,Stomach Upset,Aajtak (@aajtak),Halal Logo On Atta Packs
,,,,Store,Packaging,Does Not Provide Scheme Information,Bleach Smell,Stomach Ache,NDTV India (@ndtv),INS 300
,,,,Product Available In Retail Shop,Manufacturing Date Not Matching,Refuses To Exchange The DND Products,Chemical Smell,Kid Ate,India Tv news (@indiatvnews),INS 330
,,,,Product Available On Itcstore,Manufacturing Date Not Printed,Refuses To Provide Racks,Color of the product,Kid Consumed,Times Now (@TimesNow),Ashirvaad atta halal logo crisis
,,,,Where Can I Purchase,Mfd On Masala Packet,Retailer Refuses To Provide The Free Offers Or Gifts,Dough Color,Sick,FIR,Aashirvaad atta plastic video crisis
,,,,Where Can They Find The Products,Packaging Broken,Rude Behaviour,Foul Smell,Hospital,Fraud Website,Bingo mad angles Ad
,,,,Promo,Seal Tampered,Salesman Does Not Supply In Time,Lumps,Children,Mr Mallik,Plastic
,,,,Advertising Related,No Details Printed,Salesman Does Not Visit The Retailer,Medicine Smell,,Mr Sanjiv Puri,Pig Fat
,,,,Offer Code Not Working,Other Manufacturing Related,Salesman Rude Behaviour To The Retailer,Rotten Smell,,CEO,Rubber
,,,,Promo Announced_Not Started,Packaging Print Font Size,Sells Expired Products,Unusual Smell,,FSSAI,
,,,,Promo Concluded,Printing,Salesman,Spoilt Product,,,
,,,,Promo Gift_In Transit,Spelling Error,,Product,,,
,,,,Promo Not Received_Gift Hamper_Voucher,Wrong Pouch,,Charges More Than MRP,,,
,,,,Promo Ongoing,Wrong Saucemaker,,Grammage Related,,,
,,,,Promo Results_Awaited,Missing Material,,Overall Product,,,
,,,,Promo Yet To Begin,,,Product Appearance,,,
,,,,Winner,,,Quantity Mismatch,,,
,,,,Promo: Congratulations ,,,Quantity Reduced,,,
,,,,Query,,,Unable To Personalise,,,
,,,,Promo: Customer Enquiring On Promo Result,,,Shortage,,,
,,,,Promo: Disappointed On Not Winning,,,Unavailability,,,
,,,,Promo,,,Fabelle Not Available,,,
,,,,Suggestion For Contests ,,,Unable To Find Product In Ecom,,,
,,,,Customization,,,Unable To Find Product In Store,,,
,,,,Cover Page Customization,,,Unavailable In Pincode,,,
,,,,Photo Uploads,,,Shortage,,,
,,,,Image Size Upload,,,Unavailablity,,,
,,,,No Of Pages,,,Discontinued Product,,,
,,,,Notebook Customisation,,,CFC Shortage,,,
,,,,Service,,,,,,
